id,title,old_frequency
5df8541b06e3e708c2fac9cf,Nuit de la lecture 2020,unknown
5dfd9aa3dee7e743bf8c3ede,Nuit de la lecture 2020,unknown
5e27c8e2dee7e70ed425e8d6,Liste des Musées de France,unknown
5ed720621bca55ea7d179ef6,Somme des dix plus hautes rémunérations directement versées par le ministère de la Culture,unknown
5eed8a0711125060874fc1c2,#Culturecheznous,unknown
5efd5bedac178b708badc549,Bibliographie d’architecture contemporaine,unknown
5efead8bb641831f9dadc547,Thésaurus de l’iconographie chrétienne,unknown
5f1bae655d1bd1ac4a6dcf10,Documentation d’architecture,unknown
5f3f46ed5216ff1fa758be26,Nuit des musées 2020,unknown
5f40987a71906fe72c58be26,Journées européenes du patrimoine - JEP 2020,unknown
60a48db81b21780934f75ba2,Les protocoles de remise des archives des cabinets présidentiels et ministériels 1976-2020,unknown
60c03d2332fb81d6b12fcb3b,Les expositions itinérantes empruntables dans les services d’archives,unknown
60c82683c235ca0dca2fcb3b,Nuit des musées 2021,unknown
60cc1a66b5b801fb222fcb3b,Les dénaturalisés de Vichy,unknown
6125c059dc295c5407ef6a5b,Les activités culturelles et pédagogiques dans les services d’archives,unknown
613835ed50587f0e7d2bd965,Journées européenes du patrimoine - JEP 2021,unknown
61777ddaa9101d073e5506cd,Base des lieux et équipements culturels (Basilic),unknown
61b4226ca5919d3b718b8e9e,Catalogue des données du ministère de la Culture,unknown
61bd5cf2183f79b0098b8e9e,Les usagers en ligne des services : données des enquêtes 2014 et 2021,unknown
62676ea6a33822fcdcf11a3b,Nuit européenne des musées 2022,unknown
628da9fd2d1c0c5b031c1aae,Indicateurs socio-économiques régionaux,unknown
62d237d5b09788e8dcf49334,Test-ra JEP 2021 copie,unknown
62da21021d3f7025e69ef260,Dépenses culturelles des communes,unknown
62da21042f59d0160d9ef260,Journées européennes du patrimoine - JEP 2022,unknown
6308455a35e36b025049e2dc,Nuits de la lecture 2022,unknown
633518ec7d88ad6fb4eacfa4,Dépenses culturelles des régions par secteur,unknown
633518ecb5deca30cdeacfa4,Dépenses du ministère de la Culture en région,unknown
633518ec6b559831b7eacfa4,Dépenses du ministère de la Culture par département,unknown
633518ec7d88ad6fb4eacfa5,Dépenses culturelles des régions (total),unknown
633669cc67e8653a40eacfa6,Dispositif Premières pages par département,unknown
633669cd02685f4c8beacfa5,Contrats départementaux lecture,unknown
633bafd227f49e4e8f8c0d3f,Dispositif Premières pages par commune,unknown
633bafd4a3f5260a3ceacfa6,Plan de relance : projets soutenus par le ministère de la Culture,unknown
633bafd527f49e4e8f8c0d40,Dispositif Premières pages par intercommunalité,unknown
6340f6052cbb8188ebeacfa4,Dépenses culturelles des départements par secteur,unknown
6340f606d04658a4a4eacfa4,Dépenses culturelles des intercommunalités par secteur,unknown
6340f606a6550b8bf4eacfa4,Dépenses culturelles des départements,unknown
6340f607d04658a4a4eacfa5,Dépenses culturelles des communes (2019-2020),unknown
6340f607b1c7e116b5eacfa4,Dépenses culturelles des intercommunalités,unknown
6350c885ecad6abcaa90f68f,JO 2024 : EPCI labellisés Terres de jeux 2024,unknown
6350c886dbe7e0f35f90f68e,Entreprises : évolution du chiffre d'affaires 2020 des librairies,unknown
6350c887cec32b14bc90f68e,JO 2024 : régions labellisées Terres de jeux 2024,unknown
6350c887210de3789f90f68e,Entreprises : évolution du chiffre d'affaires 2020 du spectacle vivant,unknown
6350c887d95d644f9c487174,JO 2024 : communes labellisées Terres de jeux 2024,unknown
6350c8872ca4725b1d90f68e,JO 2024 : départements labellisés Terres de jeux 2024,unknown
6350c887ecad6abcaa90f690,Entreprises : évolution du chiffres d'affaires 2020 des salles de cinémas,unknown
6358b1057280fb6a2a90f68e,Emploi : Actifs des secteurs culturels par région,unknown
6358b1077649e63c98487174,Entreprises : Nombre d'établissements culturels actifs par région,unknown
635a0251e708959bd890f68e,Emploi : Actifs des secteurs culturels par département,unknown
635a0251dc41dc073190f68f,Emploi : Actifs des secteurs culturels par zone d'emploi,unknown
635a0251dc41dc073190f690,Entreprises : Salariés des secteurs culturels par région,unknown
635a0251ae37fbcc1290f691,Emploi : Professions culturelles par département,unknown
635a0252f931c40e6390f68f,Emploi : Professions culturelles par zone d'emploi,unknown
635a0254f931c40e6390f690,Entreprises : Nombre d'établissements culturels actifs par département,unknown
635a02558c0544dea690f690,Entreprises : Salariés des secteurs culturels par zone d'emploi,unknown
635a0255905f648a9e90f68e,Entreprises : Salariés des secteurs culturels par département,unknown
635a0255ae37fbcc1290f692,Emploi : Professions culturelles par région,unknown
635a02568c0544dea690f691,Entreprises : Nombre d'établissements culturels actifs par zone d'emploi,unknown
6369d49e0096a79ab7f64c85,Revendications et restitutions d’archives publiques,unknown
63a5287d98eba18a5da80dc8,"Base Autor, ressources biographiques et identification des auteurs",unknown
63ec58db86b5c1d12a1a2e1c,"Label ""patrimoine européen""",unknown
63ec58de3c8c492d2d1a2e1b,Itinéraires culturels du Conseil de l’Europe,unknown
643e1636a4d39d1a7a538672,Rendez-vous aux jardins 2023,unknown
643e163ba4d39d1a7a538673,Nuit européenne des musées 2023,unknown
6476c67db705583749613674,Liste des organismes bénéficiant de l'exception au droit d’auteur en faveur des personnes en situation de handicap,unknown
64ae255bbc600d7a3468ee64,Dépenses culturelles des régions,unknown
64bf48ef0f6336d5979f7201,Journées européennes du patrimoine 2023,unknown
651e3557c5f0fe7fee6e33b0,Dépenses culturelles des communes,unknown
651e35587d7cd2bd756e33b0,Les publications scientifiques dans les services d’archives,unknown
6545c1e0bcab951e5a4090dd,Fréquentation des monuments nationaux,unknown
654efe0576333b96fdf2beac,La circulation des archives en Europe et hors Europe : suivi mensuel des ventes aux enchères,unknown
