dataset.id,dataset.title,id
645b17000fe2ea7c74a08435,Dossiers nominatifs du fichier central de la Sûreté nationale (1870-1940),b91f9d67-025e-4271-a6ee-53daa78bf13f
64420a8318228ca8eb2ca03c,Chiffres clés dans le secteur du livre,9f55911c-63b2-4d33-8757-348abde08235
643e163ba4d39d1a7a538673,Nuit européenne des musées 2023,95e43e55-a8cf-4859-8fce-d43ba3b537e3
643e1636a4d39d1a7a538672,Rendez-vous aux jardins 2023,743fe332-ecbe-43ae-9546-4331847d2825
642e445d0d25370b8c538672,Préfets et préfètes français depuis 1800,fdd11c64-06b5-4aa0-9c0d-b4b2d443e129
63ec58de3c8c492d2d1a2e1b,Itinéraires culturels du Conseil de l’Europe,b85c5003-c7c6-4858-a80c-925c6d44a6eb
63ec58db86b5c1d12a1a2e1c,"Label ""patrimoine européen""",4823b6f8-65c9-480e-ba85-38d11011ffb9
63c61dcb633c6fe129f0b7db,Voyages officiels de personnalités étrangères en France (1944-2018),5c3cc97d-539a-4938-b3dd-7d61d5b774ec
63a5287d98eba18a5da80dc8,"Base Autor, ressources biographiques et identification des auteurs",22ca9972-1a22-4eaf-ad1d-174d83b41ed9
63994ae99eefb363aec8cd1d,"Pièces de théâtre écrites par des femmes, et représentées à Paris entre 1809 et 1906",f6bfb4bd-a994-4a0c-b829-89e3a235fd40
6369d49e0096a79ab7f64c85,Revendications et restitutions d’archives publiques,532d96d8-697f-42b5-8565-f5746ee38669
635a02568c0544dea690f691,Entreprises : Nombre d'établissements culturels actifs par zone d'emploi,50017756-ddfe-481d-a6bc-2aaf118d8e5e
635a0255ae37fbcc1290f692,Emploi : Professions culturelles par région,cd0e4f61-ae7d-4163-a874-b0349fb7b028
635a0255905f648a9e90f68e,Entreprises : Salariés des secteurs culturels par département,2308f8e2-211b-425a-bb38-0e08700e14ab
635a02558c0544dea690f690,Entreprises : Salariés des secteurs culturels par zone d'emploi,845ba22f-23b2-4374-b31a-8362b3bea4f2
635a0254f931c40e6390f690,Entreprises : Nombre d'établissements culturels actifs par département,ed8f9703-ad77-48d2-bc24-99fcc6f81b74
635a0252f931c40e6390f68f,Emploi : Professions culturelles par zone d'emploi,6386edb9-65c1-4343-9b08-6dd75a3cabf7
635a0251ae37fbcc1290f691,Emploi : Professions culturelles par département,84018ddf-6cb8-42cf-bf54-550b73ec49f7
635a0251dc41dc073190f690,Entreprises : Salariés des secteurs culturels par région,023632ee-c641-46c5-8789-aaf6bb0b7ada
635a0251dc41dc073190f68f,Emploi : Actifs des secteurs culturels par zone d'emploi,d7fdae3b-2e0f-417d-b83c-179161ffe193
635a0251e708959bd890f68e,Emploi : Actifs des secteurs culturels par département,2e9a0140-460a-40c6-a290-3ffc8657eb55
6358b1077649e63c98487174,Entreprises : Nombre d'établissements culturels actifs par région,94c99406-23ac-4480-ad5c-5a80321ad245
6358b1057280fb6a2a90f68e,Emploi : Actifs des secteurs culturels par région,b95de32d-c2e7-4cb1-8d17-2a8af4a2be32
6350c887ecad6abcaa90f690,Entreprises : évolution du chiffres d'affaires 2020 des salles de cinémas,e3f4bc31-c18f-42f5-bb46-e1ea6e863343
6350c887d95d644f9c487174,JO 2024 : communes labellisées Terres de jeux 2024,8d9863bc-2c0a-4e5a-ab89-e4d39cc9f775
6350c887210de3789f90f68e,Entreprises : évolution du chiffre d'affaires 2020 du spectacle vivant,895a275a-410c-4992-9239-78d45ef0ca10
6350c887cec32b14bc90f68e,JO 2024 : régions labellisées Terres de jeux 2024,064391f1-f03e-426a-8e0f-21ad3390a335
6350c886dbe7e0f35f90f68e,Entreprises : évolution du chiffre d'affaires 2020 des librairies,c18f5550-7c38-46a6-9d12-f74d446e7aeb
6350c885ecad6abcaa90f68f,JO 2024 : EPCI labellisés Terres de jeux 2024,3e6ef2db-f5ab-48db-8878-0ef6ffe4f19e
6348dfd167b474a8a5eacfa4,Accès anticipé aux archives publiques,b6effeed-6cba-435a-92e1-2957a078950b
6340f607b1c7e116b5eacfa4,Dépenses culturelles des intercommunalités,5bcf4c25-e47a-4da8-8be2-17fe4e812ae2
6340f606d04658a4a4eacfa4,Dépenses culturelles des intercommunalités par secteur,1cfb033e-8f73-40aa-993a-12f808c8a1d0
6340f606a6550b8bf4eacfa4,Dépenses culturelles des départements,a0ddff2a-c1c1-4a4c-86f1-3c98c48fe7f6
6340f6052cbb8188ebeacfa4,Dépenses culturelles des départements par secteur,4ea560bf-b433-47a6-8ec2-fab6896a5449
